,Output,GT,Input
Distance_(_),Gray_Value,,
0,633,1332,197
1,722.711,1516.427,213.48
2,825.052,1705.957,231.456
3,956.832,1924.965,257.205
4,1088.438,2057.761,276.189
5,1147.265,2167.232,293.367
6,1141.123,2157.717,295.891
7,1061.44,2030.562,282.34
8,959.722,1837.361,266.842
9,901.295,1679.653,262.217
10,868.776,1583.077,266.224
11,816.836,1501.259,261.476
12,755.893,1396.108,252.547
13,686.859,1280.94,236.584
14,636.88,1214.525,232.56
15,658.684,1279.107,292.49
16,796.639,1556.855,475.671
17,990.713,1972.265,732.797
18,1142.193,2347.884,914.489
19,1165.514,2449.794,917.179
20,1061.469,2235.337,760.327
21,916.4,1923.275,559.06
22,816.507,1689.244,416.969
23,790.786,1576.112,365.258
24,826.862,1538.298,372.324
25,881.592,1612.871,398.408
26,929.05,1662.388,426.66
27,973.468,1725.011,437.734
28,1000.68,1758.65,416.56
29,1024.192,1790.278,391.115
30,1051.653,1811.63,368.939
31,1067.94,1807.695,354.066
32,995.345,1708.787,326.853
33,868.801,1529.62,289.613
34,782.492,1403.77,266.469
35,756,1364.812,263
