X,Output,gt,in
0,525,865,511.333
1,476.746,804.744,466.254
2,462.086,777.303,456.473
3,484.668,801.344,484.597
4,556.716,913.522,567.583
5,659.191,1103.364,709.507
6,871.354,1437.146,959.187
7,1069.717,1751.261,1195.322
8,1230.198,1978.037,1361.79
9,1286.583,2091.396,1423.474
10,1247.061,2074.036,1381.939
11,1147.282,1959.134,1263.893
12,1071.361,1887.555,1167.583
13,1061.39,1892.497,1131.278
14,1062.513,1870.657,1104.616
15,1017.906,1749.573,1024.13
16,958.679,1568.074,934.42
17,854.047,1327.081,802.724
18,775.813,1140.667,696.958
19,728.208,1021.657,613.864
20,732.312,985.247,586.707
21,736.304,966.726,562.974
22,743.794,994.35,543.461
23,757.959,1040.674,530.707
24,803.667,1139.667,546.333
25,804.564,1179.208,534.36
26,767.123,1172.987,504.032
27,726.771,1145.656,483.661
28,653.42,1032.04,442.269
29,554.998,888.526,392.931
30,455.5,747.889,344.16
31,390.382,654.789,314.866
32,359.679,603.58,301.284
33,330.677,550.99,280.51
34,310.209,514.274,265.31
35,297.919,483.747,254.617
36,284,459.083,244.833
