,Output,GT,Input
Distance_(_),Gray_Value,,
0,767,688.5,272
1,770.839,699.576,271.733
2,772.161,724.537,272.831
3,823.741,785.704,283.741
4,946.87,892.638,307.144
5,1061.901,1008.35,329.947
6,1106.778,1029.815,347.019
7,1074.712,990.379,367.675
8,989.2,891.942,374.171
9,1010,948.667,464.667
10,1198.661,1242.792,736.975
11,1610.342,1830.42,1260.481
12,2016.444,2358.593,1737.148
13,2153.621,2476.848,1846.025
14,1893.667,2050.292,1443.49
15,1479.333,1473.556,877.296
16,1278.212,1186.788,549.424
17,1311.169,1202.387,477.708
18,1384.833,1305.333,466
19,1370.103,1361.654,441.782
20,1354.459,1401.107,438.5
21,1346.556,1365.185,437.481
22,1303.864,1290.772,426.984
23,1175.321,1151.757,387.119
24,1034.778,1022.204,345.944
25,977.407,999.58,334.449
26,984.708,1025.123,338.547
27,1028,1100,359
